TERM, rolestring, attrstring, WEIGHT, FREQ, NUMDOCS, KEEP, Rank, topic1, topic2, topic3, topic4, topic5, topic6, topic7, topic8, topic9, topic10, topic11, topic12, topic13, topic14, topic15, topic16, topic17, topic18, _termid, 
learn, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 46, 
light, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0.268, 0.001, 0, -0.002, -0.016, -0.001, -0.041, -0.001, -0.012, 0, -0.007, 0, 0, -0.057, 0, -0.017, -0.015, 0, 369, 
live, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.187, 0, 0, 0, 0, 0, 0, 0, 0, 464, 
live station, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.187, 0, 0, 0, 0, 0, 0, 0, 0, 150, 
ll tell, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.026, 0, 0, 0, 0, 0.349, 0, 0, 0, 0, 0.001, 0, 0, -0.001, 0, -0.002, 0.012, 0, 163, 
location, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.312, 0, 0, 0, 0, 0, 0, 0, 0, 213, 
lose, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 329, 
love, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 313, 
marimekko, Prop, Alpha, 0.7268306239, 6, 4, Y, 29, 0.059, -0.002, -0.001, 0.008, 0.008, -0.001, -0.013, -0.005, 0.034, 0, 0.033, 0, 0, 0.099, 0, 0.018, 0.348, 0, 487, 
mayjong60.weebly.com, Noun, Mixed, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 280, 
mills, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.312, 0, 0, 0, 0, 0, 0, 0, 0, 382, 
mir, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 472, 
mit, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 276, 
money, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 249, 
nachricht, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 
nachricht zur, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 
nelson-atkins, Prop, Mixed, 0.7151957782, 4, 4, Y, 29, -0.002, 0, 0, 0, -0.001, 0, -0.01, 0.38, 0, 0, 0.001, 0, 0, -0.004, 0, -0.001, -0.006, 0, 9, 
opay, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 403, 
opay bank, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 119, 
open, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.487, 0, 0, 0, 112, 
order, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.009, -0.009, -0.006, 0, 0.058, -0.004, -0.006, 0.001, 0.186, 0, -0.001, 0, 0, -0.027, 0, 0.002, -0.073, 0, 274, 
order, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, -0.012, -0.004, 0.001, 0, 0.26, 0.001, -0.006, -0.001, -0.002, 0, -0.001, 0, 0, -0.006, 0, -0.005, 0.019, 0, 40, 
outlet, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.487, 0, 0, 0, 134, 
pa, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, -0.049, 0.001, 0, -0.001, -0.017, -0.005, -0.025, -0.002, -0.008, 0, -0.002, 0, 0, -0.032, 0, 0.547, 0.006, 0, 48, 
perfect, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, 0.058, -0.003, 0.001, 0.001, 0.144, -0.003, 0.022, 0.001, -0.018, 0, -0.001, 0, 0, 0.023, 0, 0.01, -0.055, 0, 312, 
person, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 130, 
phone, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 157, 
pittsburgh, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, -0.049, 0.001, 0, -0.001, -0.017, -0.005, -0.025, -0.002, -0.008, 0, -0.002, 0, 0, -0.032, 0, 0.547, 0.006, 0, 197, 
pity, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.501, 0, 0, 0, 0, 0, 0, 292, 
priority, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, -0.019, -0.006, -0.004, 0, 0.115, 0, -0.001, 0, 0.147, 0, -0.004, 0, 0, -0.024, 0, -0.009, -0.01, 0, 428, 
proceeds, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.022, 0.001, 0.001, -0.001, -0.006, 0, 0.264, -0.012, -0.002, 0, 0.004, 0, 0, -0.017, 0, -0.006, -0.018, 0, 314, 
professional, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 33, 
profit, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 
prozentige, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 485, 
read, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 232, 
s profit, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 
salut, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.187, 0, 0, 0, 0, 0, 0, 0, 0, 69, 
sawgrass, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.312, 0, 0, 0, 0, 0, 0, 0, 0, 375, 
schicken, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 
schicken sie mir, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 335, 
season, Noun, Alpha, 0.7268306239, 6, 4, Y, 29, 0.358, 0.001, 0, -0.004, -0.009, 0.001, -0.049, -0.003, -0.014, 0, -0.007, 0, 0, -0.096, 0, -0.022, 0.123, 0, 235, 
second, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.378, 481, 
several, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.005, 0, 0, -0.003, 0, 0.001, -0.026, 0.002, 0, 0, 0.455, 0, 0, -0.001, 0, -0.002, -0.015, 0, 206, 
shipping, Noun, Alpha, 0.7268306239, 12, 4, Y, 29, -0.021, -0.009, 0.003, -0.001, 0.509, 0.002, -0.01, -0.001, -0.006, 0, -0.001, 0, 0, -0.01, 0, -0.008, 0.036, 0, 80, 
shoot, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 478, 
shubhi, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.363, 413, 
sicherheit, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 471, 
sicherheit bei, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 
sie, Prop, Alpha, 0.7151957782, 8, 4, Y, 29, 0, 0.234, 0, 0, 0.001, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 
sie die, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 
slavery, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.187, 0, 0, 0, 0, 0, 0, 0, 0, 72, 
station, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.187, 0, 0, 0, 0, 0, 0, 0, 0, 200, 
stay, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0.118, 0.001, 0.001, -0.002, -0.008, -0.013, -0.01, -0.002, -0.021, 0, -0.005, 0, 0, 0.136, 0, -0.008, 0.015, 0, 4, 
stock, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 7, 
stock market, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 365, 
stop, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 381, 
swipe, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 465, 
team, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 316, 
texas, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.487, 0, 0, 0, 454, 
thing, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0.193, 0, 0.001, 0, 0.001, 0, -0.002, 0, 0, 0, 0, 0.001, 0, 0, 0, 0, 247, 
time, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.002, 0, 0, 0, -0.001, 0, -0.01, 0.38, 0, 0, 0.001, 0, 0, -0.004, 0, -0.001, -0.006, 0, 227, 
today, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 
trade, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 308, 
trade shoot, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 432, 
uba, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 13, 
uba bank, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 440, 
ultra, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, 0.268, 0.001, 0, -0.002, -0.016, -0.001, -0.041, -0.001, -0.012, 0, -0.007, 0, 0, -0.057, 0, -0.017, -0.015, 0, 199, 
ultrastrech, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.026, 0, 0, 0, 0, 0.349, 0, 0, 0, 0, 0.001, 0, 0, -0.001, 0, -0.002, 0.012, 0, 154, 
ultrastrech airism dress, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.026, 0, 0, 0, 0, 0.349, 0, 0, 0, 0, 0.001, 0, 0, -0.001, 0, -0.002, 0.012, 0, 418, 
unannehmlichkeiten, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 
unannehmlichkeiten mit, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 
uniqlo store, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, -0.049, 0.001, 0, -0.001, -0.017, -0.005, -0.025, -0.002, -0.008, 0, -0.002, 0, 0, -0.032, 0, 0.547, 0.006, 0, 151, 
uniqlo x, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0.155, 0, 0, 0.01, 0.001, -0.014, 0.005, -0.003, -0.003, 0, 0.038, 0, 0, 0.015, 0, 0.012, 0.131, 0, 374, 
vijay, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.363, 168, 
visit, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 39, 
visit, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, -0.002, 0, 0, 0, -0.001, 0, -0.01, 0.38, 0, 0, 0.001, 0, 0, -0.004, 0, -0.001, -0.006, 0, 238, 
want, Verb, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.259, 0, 0, 0, 0, 0, 0, 0, 0, 243, 
website, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, -0.001, 0, 0, 0.211, 0, 0, -0.001, 0, 0, 0, -0.001, 0, 0, -0.001, 0, -0.001, -0.003, 0, 423, 
wiederherstellung, Prop, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 424, 
winter, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, 0.174, 0.001, -0.001, 0, -0.022, -0.016, -0.028, 0.002, 0.017, 0, -0.001, 0, 0, -0.001, 0, -0.003, -0.135, 0, 106, 
worn, Adj, Alpha, 0.7151957782, 4, 4, Y, 29, -0.026, 0, 0, 0, 0, 0.349, 0, 0, 0, 0, 0.001, 0, 0, -0.001, 0, -0.002, 0.012, 0, 255, 
yes, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0.057, 0.001, -0.002, 0.003, -0.04, -0.011, -0.005, 0.005, 0.057, 0, 0.01, 0, 0, 0.057, 0, 0.015, -0.294, 0, 156, 
youtube, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.259, 0, 0, 0, 0, 0, 0, 0, 0, 158, 
youtube channel, Noun Group, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.259, 0, 0, 0, 0, 0, 0, 0, 0, 244, 
zur, Noun, Alpha, 0.7151957782, 4, 4, Y, 29, 0, 0.147, 0, 0, 0, 0, 0, 0, -0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 
